	accountNumber	customerId	creditLimit	availableMoney	transactionDateTime	transactionAmount	merchantName	acqCountry	merchantCountryCode	posEntryMode	posConditionCode	merchantCategoryCode	currentExpDate	accountOpenDate	dateOfLastAddressChange	cardCVV	enteredCVV	cardLast4Digits	transactionType	isFraud	echoBuffer	currentBalance	merchantCity	merchantState	merchantZip	cardPresent	posOnPremises	recurringAuthInd	expirationDateKeyInMatch	currentBalanceDiff	transactionAmountDiff
9	965952336	965952336	7500.0	1807.13	2016-03-10 23:06:20	394.24	ebay.com	US	US	05	01	online_retail	10/2027	2013-01-11	2016-02-08	286	286	4029	PURCHASE	0.0		5692.87				0.0			0.0	394.2399999999998	0.0
11	965952336	965952336	7500.0	609.35	2016-06-11 22:52:55	20.35	ebay.com	US	US	02	01	online_retail	02/2029	2013-01-11	2016-02-08	286	286	4029	PURCHASE	0.0		6890.65				0.0			0.0	20.349999999999454	0.0
13	965952336	965952336	7500.0	1242.15	2016-09-10 02:50:47	161.08	Rodeway Inn #700975	US	US	05	01	hotels	05/2028	2013-01-11	2016-02-08	286	286	4029	PURCHASE	0.0		6257.85				1.0			0.0	161.07999999999993	0.0
14	965952336	965952336	7500.0	3401.57	2016-11-02 13:45:49	37.62	gap.com	US	US	02	99	online_retail	06/2028	2013-01-11	2016-02-08	258	258	1562	PURCHASE	0.0		4098.43				0.0			0.0	37.620000000000346	0.0
30	885773130	885773130	7500.0	5687.52	2016-10-18 20:19:16	50.93	Franks Pub #87366	US	US	05	01	food	03/2020	2015-04-09	2016-07-06	612	612	9852	PURCHASE	0.0		1812.48				1.0			0.0	50.930000000000064	0.0
32	784469543	784469543	2500.0	1095.64	2016-05-11 05:43:42	271.6	Hyatt House #461673	US	US	05	01	hotels	05/2026	2008-08-21	2016-04-09	479	479	8915	PURCHASE	0.0		1404.36				0.0			0.0	271.5999999999999	0.0
33	784469543	784469543	2500.0	1700.09	2016-07-07 16:39:42	401.06	Hilton Hotels #89655	US	US	05	01	hotels	12/2020	2008-08-21	2016-04-09	479	479	8915	PURCHASE	0.0		799.91				1.0			0.0	401.05999999999995	0.0
34	784469543	784469543	2500.0	1696.06	2016-07-24 12:32:36	184.44	alibaba.com	US	US	02	08	online_retail	09/2018	2008-08-21	2016-04-09	479	479	8915	PURCHASE	0.0		803.94				0.0			0.0	184.44000000000005	0.0
38	784469543	784469543	2500.0	990.15	2016-10-31 18:12:41	398.04	Uber	US	US	09	01	rideshare	03/2019	2008-08-21	2016-04-09	479	479	8915	PURCHASE	0.0		1509.85				0.0			0.0	398.03999999999996	0.0
43	331448375	331448375	7500.0	7004.9	2016-01-11 16:13:07	229.45	Dunkin' Donuts #386095	US	US	02	01	fastfood	05/2030	2015-08-21	2015-08-21	952	952	2992	PURCHASE	0.0		495.1				1.0			0.0	229.45000000000005	0.0
44	331448375	331448375	7500.0	4083.83	2016-02-22 01:22:47	199.96	Ray's Fries #312615	US	US	02	08	food	12/2028	2015-08-21	2015-08-21	952	952	2992	PURCHASE	0.0		3416.17				1.0			0.0	199.96000000000004	0.0
45	782400169	782400169	15000.0	6584.92	2016-02-18 00:54:01	278.39	Ray's Fries #24425	US	US	09	01	food	02/2020	2012-12-31	2012-12-31	298	298	6964	PURCHASE	0.0		8415.08				1.0			0.0	278.3900000000003	0.0
