	accountNumber	customerId	creditLimit	availableMoney	transactionDateTime	transactionAmount	merchantName	acqCountry	merchantCountryCode	posEntryMode	posConditionCode	merchantCategoryCode	currentExpDate	accountOpenDate	dateOfLastAddressChange	cardCVV	enteredCVV	cardLast4Digits	transactionType	isFraud	echoBuffer	currentBalance	merchantCity	merchantState	merchantZip	cardPresent	posOnPremises	recurringAuthInd	expirationDateKeyInMatch	currentBalanceDiff
0	733493772	733493772	5000.0	4179.85	2016-01-26 12:19:15	11.54	Universe Massage #70014	US	US	05	01	personal care	04/2024	2014-08-03	2014-08-03	492	492	9184	REVERSAL	0.0		820.15				1.0			0.0	11.539999999999964
1	733493772	733493772	5000.0	3020.16	2016-02-23 13:05:35	467.88	Uber	US	US	09	01	rideshare	04/2022	2014-08-03	2014-08-03	492	492	9184	REVERSAL	0.0		1979.84				0.0			0.0	467.8799999999999
14	733493772	733493772	5000.0	3175.04	2016-09-18 18:59:20	90.52	Uber	US	US	02	08	rideshare	12/2031	2014-08-03	2016-06-26	492	492	9184	REVERSAL	0.0		1824.96				0.0			0.0	90.51999999999998
18	578754168	578754168	5000.0	4973.21	2016-04-28 10:21:25	23.33	Shell Gas #69785	US	US	05	01	fuel	06/2029	2015-10-21	2015-10-21	413	413	5279	PURCHASE	0.0		26.79				1.0			0.0	26.79
23	578754168	578754168	5000.0	4974.23	2016-09-20 11:48:59	27.06	Shell Gas #69785	US	US	05	01	fuel	06/2029	2015-10-21	2015-10-21	413	413	5279	PURCHASE	0.0		25.77				1.0			0.0	25.77
122	885773130	885773130	7500.0	7232.48	2016-05-05 06:35:01	267.52	South Drive in	US	US	02	01	food	09/2019	2015-04-09	2015-04-09	612	612	9852	REVERSAL	0.0		267.52				1.0			0.0	267.52
174	784469543	784469543	2500.0	205.02	2016-08-12 11:48:37	87.71	Rodeway Inn #893650	US	US	05	01	hotels	08/2022	2008-08-21	2016-04-09	479	479	8915	REVERSAL	0.0		2294.98				0.0			0.0	87.71000000000004
189	784469543	784469543	2500.0	532.49	2016-10-26 15:11:14	134.17	Uber	US	US	09	01	rideshare	10/2026	2008-08-21	2016-04-09	479	479	8915	REVERSAL	0.0		1967.51				0.0			0.0	134.17000000000007
218	782400169	782400169	15000.0	2998.86	2016-04-12 04:01:15	207.63	Ray's Fries #312615	US	US	05	01	food	05/2023	2012-12-31	2012-12-31	298	298	6964	REVERSAL	0.0		12001.14				1.0			0.0	207.6299999999992
231	782400169	782400169	15000.0	2129.61	2016-10-08 07:05:53	10.65	34th BBQ #192302	US	US	09	01	food	05/2031	2012-12-31	2016-10-02	298	298	6964	REVERSAL	0.0		12870.39				1.0			0.0	10.649999999999636
235	782400169	782400169	15000.0	2000.09	2016-11-12 17:02:32	7.56	Quizno's #808797	US	US	09	01	fastfood	03/2023	2012-12-31	2016-10-02	298	298	6964	REVERSAL	0.0		12999.91				1.0			0.0	7.559999999999491
247	291003884	291003884	10000.0	9433.36	2016-02-21 13:09:33	113.69	Hyatt House #469765	US	US	05	01	hotels	10/2031	2013-02-17	2013-02-17	809	809	9436	REVERSAL	0.0		566.64				1.0			0.0	113.69
255	738735439	738735439	500.0	293.76	2016-01-06 23:47:00	64.23	Subway #821396	US	US	02	08	fastfood	10/2027	2014-02-15	2014-02-15	729	729	6074	REVERSAL	0.0		206.24				1.0			0.0	64.23000000000002
323	738735439	738735439	500.0	375.54	2016-04-09 23:58:04	124.46	Five Guys #60282	US	US	02	01	fastfood	05/2020	2014-02-15	2014-02-15	729	729	6074	REVERSAL	0.0		124.46				1.0			0.0	124.46
